Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid
番荔枝,水果,0.01,75,18,0,7.00E-05,0.68,3,2.30E-05,0.00027,0.017,0.06,15,0,0,0,0.026,0.19,0.287,1.6,0.23,,0.007,0,5,0,0.0001,0,0.00013,0.00064,0.00035,0.00026,0.013,0.00016,,6.3,2.00E-05,4.00E-05,6.00E-05,4.00E-05,9.00E-05,2.00E-05,4.00E-05,0,13,5.00E-05,3.00E-05,6.00E-05,,0.00027,,0.16,0,0,0,0,0.03,
樱桃,水果,0.016,50,12,0,0.0001,0.3,1.6,8.00E-06,0.00032,0.009,0.08,11,0,0,0,0.015,0.09,0.173,1,0.07,0,0.003,0,1283,6.40E-05,3.00E-05,0,4.00E-05,0.0004,0.00014,4.00E-05,0.01,0.0001,0.0061,3.5,,,,,0.00011,,,,8.5,,,,0,7.00E-05,2.10E-06,,,,,,,
花红,水果,0.018,76,20,0,7.00E-05,0.3,,,0.00036,0.007,0.01,20,,,,0.015,0.09,0.194,0.4,0.05,,0.001,0,40,2.00E-06,3.00E-05,0,2.00E-05,0.0001,,,0.008,,,,1.00E-05,2.00E-05,3.00E-05,3.00E-05,0.00012,0,1.00E-05,,,1.00E-05,0,2.00E-05,,,,,,,,,,
蔓越莓,水果,0.008,46,12,0,6.00E-05,0.13,3.6,1.00E-06,0.00023,0.006,0.02,8.4,0,0,0,0.011,0.06,0.08,0.46,0.01,1.00E-07,0.002,0,63,3.00E-06,1.00E-05,0,2.00E-05,0.0001,0.0003,6.00E-05,0.014,9.00E-05,0.0055,0.67,2.00E-05,3.00E-05,5.00E-05,4.00E-05,0.00027,0,4.00E-05,0,4.3,3.00E-05,0,5.00E-05,0,0.0013,5.00E-06,,,,,,,
红醋栗,水果,0.033,56,14,0,0.00011,0.2,4.3,8.00E-06,0.001,0.013,0.03,9.5,0,0,0,0.044,0.09,0.275,1.4,0.02,6.00E-07,0.001,0,42,2.00E-06,4.00E-05,0,5.00E-05,0.0001,6.00E-05,7.00E-05,0.041,0.00023,0.0076,3.5,,,,,0.00019,,,,7.4,,,,0,0.0001,1.10E-05,,,,,,,
番荔枝,水果,0.03,101,25,0,,0.6,2.4,,0.00071,0.018,,23,,,,0.021,,0.382,1.7,0.23,,0.004,0,33,2.00E-06,8.00E-05,0,0.0001,0.0005,0.00014,0.00022,0.019,,,,,,,4.00E-05,,0,,,,,1.00E-05,,,,,,,,,,,
枣,水果,0.039,282,75,0,0.00021,0.39,8,1.90E-05,0.001,0.043,0.04,67,0,0,0,0.062,0.02,0.656,2.5,0.03,3.00E-06,0.002,0,10,0,5.00E-05,0,7.00E-05,0.0013,0.00059,0.00017,0.0004,0.00029,0.0063,20,3.00E-05,5.00E-05,8.00E-05,7.00E-05,0.00026,2.00E-05,5.00E-05,,63,4.00E-05,1.00E-05,7.00E-05,0,5.00E-05,2.70E-06,,0,0,,,,
接骨木莓,水果,0.038,73,18,0,6.00E-05,0.5,7,6.00E-06,0.0016,0.005,0.08,11,0,0,0,0.039,0.25,0.28,0.66,0.02,6.00E-07,0.006,0,600,3.00E-05,7.00E-05,0,6.00E-05,0.0005,0.00014,0.00023,0.036,0.00011,,,2.00E-05,3.00E-05,6.00E-05,3.00E-05,,1.00E-05,4.00E-05,,,3.00E-05,1.00E-05,3.00E-05,,,,,,,,,,
无花果,水果,0.035,74,19,0,7.00E-05,0.3,2.9,6.00E-06,0.00037,0.017,0.07,16,0,0,0,0.014,0.14,0.232,0.75,0.06,2.00E-07,0.001,0,142,7.00E-06,6.00E-05,0,5.00E-05,0.0004,0.0003,0.00011,0.002,0.00015,0.0047,,1.00E-05,2.00E-05,3.00E-05,3.00E-05,0.00013,1.00E-05,2.00E-05,,16,2.00E-05,1.00E-05,3.00E-05,0,0.00011,4.70E-06,,,,,,,
水果沙拉,水果,0.011,50,13,0,5.00E-05,0.03,1,3.00E-06,0.00025,0.008,0.01,12,,,,0.014,0.01,0.116,0.51,0,,0.005,0,600,3.00E-05,1.00E-05,0,1.00E-05,0.00036,5.00E-05,3.00E-05,0.0033,0.00014,,,,,,,0.00015,,,,,,,,0,,,,,,,,,
醋栗,水果,0.025,44,10,0,7.00E-05,0.58,4.3,6.00E-06,0.00031,0.01,0.05,5.9,0,0,0,0.027,0.32,0.198,0.88,0.04,6.00E-07,0.001,0,290,1.50E-05,4.00E-05,0,3.00E-05,0.0003,0.00029,8.00E-05,0.028,0.00012,,,,,,,0.00014,,,,,,,,,0.00037,,,,,,,,
枸杞,水果,0.19,349,77,0,,0.39,13,,0.0068,,,64,,,,,,,14,0,,0.298,0,26822,,,,,,,,0.048,,,,0.00016,0.00026,0.00046,0.00023,,9.00E-05,0.00027,,46,0.00036,,0.00032,,,,,,,,,,
葡萄柚,水果,0.022,42,11,0,3.00E-05,0.14,1.6,1.30E-05,8.00E-05,0.009,0.02,9.1,0,0,0,0.018,0.04,0.135,0.77,0.02,1.00E-07,0,0,1150,5.80E-05,4.00E-05,0,3.00E-05,0.0002,0.00026,5.00E-05,0.031,7.00E-05,0.0077,1.8,1.00E-05,1.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0,6.9,1.00E-05,1.00E-05,2.00E-05,0,0.00013,0,,,,,,,
葡萄,水果,0.014,67,17,0,4.00E-05,0.35,0.9,4.00E-06,0.00029,0.005,0.01,16,0,0,0,0.01,0.1,0.191,0.63,0.11,1.00E-07,0.002,0,100,5.00E-06,9.00E-05,0,6.00E-05,0.0003,2.00E-05,0.00011,0.004,4.00E-05,0.0056,,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.00072,2.00E-05,1.00E-05,,16,2.00E-05,0,2.00E-05,0,0.00019,1.50E-05,,,,,,,
秘鲁地樱桃,水果,0.009,53,11,0,,0.7,,,0.001,,,11,,,,0.04,,,1.9,,,,0,720,3.60E-05,0.00011,0,4.00E-05,0.0028,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,
番石榴,水果,0.018,68,14,0,0.00023,0.95,5.4,4.90E-05,0.00026,0.022,0.09,8.9,0,0,0,0.04,0.4,0.417,2.6,0.27,6.00E-07,0.002,0,624,3.10E-05,7.00E-05,0,4.00E-05,0.0011,0.00045,0.00011,0.228,0.00023,0.0076,,2.00E-05,9.00E-05,0.00017,7.00E-05,0.00015,2.00E-05,1.00E-05,,8.9,0.0001,2.00E-05,9.00E-05,0,0.00073,2.60E-06,,,,,,,
菠萝蜜,水果,0.024,95,23,0,8.00E-05,0.64,1.5,2.40E-05,0.00023,0.029,0.16,22,0,0,0,0.021,0.09,0.448,1.7,0.2,,0.002,0,110,5.00E-06,0.00011,0,6.00E-05,0.00092,0.00024,0.00033,0.014,0.00013,,9.2,3.00E-05,7.00E-05,0.0001,7.00E-05,4.00E-05,3.00E-05,5.00E-05,1.5,19,9.00E-05,3.00E-05,9.00E-05,,0.00034,,0.08,0,0,0,0,0.02,
爪哇梅,水果,0.019,60,16,0,,0.23,,,0.00019,0.015,,16,,,,0.017,,0.079,0.72,,,0.014,0,3,0,1.00E-05,0,1.00E-05,0.00026,,4.00E-05,0.014,,,,,,,,,,,,,,,,,,,,,,,,,
酸枣,水果,0.021,79,20,0,7.00E-05,0.2,,,0.00048,0.01,,20,,,,0.023,,0.25,1.2,,,0.003,0,40,2.00E-06,2.00E-05,0,4.00E-05,0.0009,,8.00E-05,0.069,5.00E-05,,,,,,,8.00E-05,,,,,,,,,,,,,,,,,
猕猴桃,水果,0.034,61,15,0,0.00013,0.52,3,2.50E-05,0.00031,0.017,0.05,12,0,0,0,0.034,0.29,0.312,1.1,0.03,2.00E-07,0.003,0,87,4.00E-06,3.00E-05,0,3.00E-05,0.00034,0.00018,6.00E-05,0.093,0.00014,0.0078,4.4,3.00E-05,5.00E-05,7.00E-05,6.00E-05,0.0001,2.00E-05,4.00E-05,0,9,5.00E-05,2.00E-05,6.00E-05,0,0.0015,4.00E-05,,,,,,,
金桔,水果,0.062,71,16,0,0.0001,0.86,6.5,1.70E-05,0.00086,0.02,0.15,9.4,0,0,0,0.019,0.17,0.186,1.9,0.1,0,0.01,0,290,1.50E-05,4.00E-05,0,9.00E-05,0.00043,0.00021,4.00E-05,0.044,0.00017,0.0084,,,,,,0.00014,,,,9.4,,,,0,0.00015,0,,,,,,,
柠檬,水果,0.026,29,9.3,0,4.00E-05,0.3,2.8,1.10E-05,0.0006,0.008,0.01,6.5,0,0,0,0.016,0.09,0.138,1.1,0.04,4.00E-07,0.002,0,22,1.00E-06,4.00E-05,0,2.00E-05,0.0001,0.00019,8.00E-05,0.053,6.00E-05,0.0051,,,,,,3.00E-05,,,,2.5,,,,0,0.00015,0,,,,,,,
青柠,水果,0.033,30,11,0,7.00E-05,0.2,2.8,8.00E-06,0.0006,0.006,0.02,7.7,0,0,0,0.018,0.06,0.102,0.7,0.02,4.00E-07,0.002,0,50,2.00E-06,3.00E-05,0,2.00E-05,0.0002,0.00022,4.00E-05,0.029,0.00011,0.0051,,,,,1.00E-05,1.00E-05,0,,,1.7,,0,,0,0.00022,6.00E-07,,,,,,,
荔枝,水果,0.005,66,17,0,0.00015,0.44,1.3,1.40E-05,0.00031,0.01,0.12,15,0,0,0,0.031,0.13,0.171,0.83,0.1,6.00E-07,0.001,0,0,0,1.00E-05,0,7.00E-05,0.0006,,0.0001,0.072,7.00E-05,0.0071,,,,,4.00E-05,6.00E-05,1.00E-05,,,15,,1.00E-05,,0,7.00E-05,4.00E-07,,,,,,,
罗甘莓,水果,0.026,55,13,0,0.00012,0.31,5.3,2.60E-05,0.00064,0.021,0.03,7.7,0,0,0,0.026,0.18,0.145,1.5,0.01,2.00E-07,0.001,0,35,2.00E-06,5.00E-05,0,3.00E-05,0.00084,0.00024,7.00E-05,0.015,0.00034,0.0085,,,,,,0.0012,,,,7.7,,,,0,0.00087,7.80E-06,,,,,,,
龙眼,水果,0.001,60,15,0,0.00017,0.1,1.1,,0.00013,0.01,,14,,,,0.021,,0.266,1.3,,,0,0,,,3.00E-05,0,0.00014,0.0003,,,0.084,5.00E-05,,,1.00E-05,3.00E-05,5.00E-05,5.00E-05,5.00E-05,1.00E-05,3.00E-05,,,3.00E-05,,6.00E-05,,,,,,,,,,
枇杷,水果,0.016,47,12,0,4.00E-05,0.2,1.7,1.40E-05,0.00028,0.013,0.01,10,0,0,0,0.027,0.09,0.266,0.43,0.04,6.00E-07,0.001,0,1528,7.60E-05,2.00E-05,0,2.00E-05,0.00018,,0.0001,0.001,5.00E-05,,,1.00E-05,2.00E-05,3.00E-05,2.00E-05,0.00015,0,1.00E-05,,,2.00E-05,1.00E-05,2.00E-05,,,,,,,,,,
芒果,水果,0.011,60,15,0,0.00011,0.38,1.6,4.30E-05,0.00016,0.01,0.14,13,0,0,0,0.014,0.07,0.168,0.82,0.09,6.00E-07,0.001,0,1082,5.40E-05,3.00E-05,0,4.00E-05,0.00067,0.0002,0.00012,0.036,9.00E-05,0.0076,4.7,2.00E-05,3.00E-05,5.00E-05,7.00E-05,6.00E-05,1.00E-05,3.00E-05,,14,3.00E-05,1.00E-05,4.00E-05,0,0.0009,4.20E-06,,,,,,,
紫山竹果,水果,0.012,73,18,0,7.00E-05,0.58,1.8,3.10E-05,0.0003,0.013,,16,,,,0.008,,0.048,0.41,,,0.007,0,35,2.00E-06,5.00E-05,0,5.00E-05,0.00029,3.00E-05,2.00E-05,0.0029,0.00021,,,,,,,0.0001,,,,,,,,0,,,,,,,,,
哈密瓜,水果,0.009,34,8.2,0,4.00E-05,0.19,0.9,2.10E-05,0.00021,0.012,0,7.3,0,0,0,0.015,0.08,0.267,0.84,0.05,4.00E-07,0.016,0,3382,0.000169,4.00E-05,0,2.00E-05,0.00073,0.00011,7.00E-05,0.037,0.00018,0.0076,1.9,2.00E-05,2.00E-05,3.00E-05,3.00E-05,4.00E-05,1.00E-05,2.00E-05,0.03,7.9,2.00E-05,0,3.00E-05,0,5.00E-05,2.50E-06,,,,,,,
甜瓜,水果,0.011,28,6.6,0,6.00E-05,0.1,0.9,8.00E-06,0.00034,0.011,0,5.7,0,0,0,0.005,0.04,0.182,1.1,0.03,4.00E-07,0.009,0,0,0,2.00E-05,0,3.00E-05,0.00023,8.00E-05,0.00016,0.022,7.00E-05,0.0076,,,,,,4.00E-05,,,,5.7,,,,0,5.00E-05,2.50E-06,,,,,,,
蜜瓜,水果,0.006,36,9.1,0,2.00E-05,0.14,0.8,1.90E-05,0.00017,0.01,0,8.3,0,0,0,0.011,0.06,0.228,0.54,0.04,7.00E-07,0.018,0,50,3.00E-06,4.00E-05,0,1.00E-05,0.00042,0.00016,9.00E-05,0.018,9.00E-05,0.0076,3,1.00E-05,1.00E-05,2.00E-05,2.00E-05,3.00E-05,1.00E-05,2.00E-05,0,8.1,1.00E-05,1.00E-05,2.00E-05,0,2.00E-05,2.90E-06,,,,,,,
桑葚,水果,0.039,43,9.8,0,6.00E-05,0.39,1.7,6.00E-06,0.0019,0.018,0.04,8.1,0,0,0,0.038,0.21,0.194,1.4,0.03,6.00E-07,0.01,0,25,1.00E-06,3.00E-05,0,0.0001,0.00062,,5.00E-05,0.036,0.00012,0.012,,,,,,,,,,8.1,,,,0,0.00087,7.80E-06,,,,,,,
油桃,水果,0.006,44,11,0,9.00E-05,0.32,1.7,5.00E-06,0.00028,0.009,0.09,8.9,0,0,0,0.026,0.11,0.201,1.1,0.03,0,0,0,332,1.70E-05,3.00E-05,0,3.00E-05,0.0011,0.00019,3.00E-05,0.0054,0.00017,0.0062,1.4,1.00E-05,1.00E-05,1.00E-05,2.00E-05,5.00E-05,1.00E-05,2.00E-05,0.07,7.9,1.00E-05,1.00E-05,1.00E-05,0,0.00077,2.20E-06,,,,,,,
橙子,水果,0.04,47,12,0,5.00E-05,0.12,2.4,3.00E-05,0.0001,0.01,0.02,9.4,0,0,0,0.014,0.03,0.181,0.94,0.02,5.00E-07,0,0,225,1.10E-05,9.00E-05,0,4.00E-05,0.00028,0.00025,6.00E-05,0.053,7.00E-05,0.0084,,2.00E-05,3.00E-05,2.00E-05,5.00E-05,3.00E-05,2.00E-05,3.00E-05,,9.4,2.00E-05,1.00E-05,4.00E-05,0,0.00018,0,,,,,,,
蜜橘,水果,0.037,53,13,0,4.00E-05,0.31,1.8,1.60E-05,0.00015,0.012,0.06,12,0,0,0,0.02,0.07,0.166,0.81,0.04,1.00E-07,0.002,0,681,3.40E-05,6.00E-05,0,4.00E-05,0.00038,0.00022,8.00E-05,0.027,7.00E-05,0.01,2.4,1.00E-05,2.00E-05,3.00E-05,3.00E-05,4.00E-05,0,2.00E-05,0,11,2.00E-05,0,2.00E-05,0,0.0002,0,,,,,,,
木瓜,水果,0.02,43,11,0,5.00E-05,0.26,1.7,3.70E-05,0.00025,0.021,0.07,9.1,0,0,0,0.01,0.06,0.182,0.47,0.08,6.00E-07,0.008,0,950,4.70E-05,2.00E-05,0,3.00E-05,0.00036,0.00019,4.00E-05,0.061,8.00E-05,0.0061,3.7,1.00E-05,1.00E-05,2.00E-05,3.00E-05,4.00E-05,0,1.00E-05,0,7.8,1.00E-05,1.00E-05,1.00E-05,0,0.0003,2.60E-06,,,,,,,
百香果,水果,0.012,97,23,0,9.00E-05,0.7,10,1.40E-05,0.0016,0.029,0.09,13,0,0,0,0.068,0.41,0.348,2.2,0.06,6.00E-07,0.028,0,1272,6.40E-05,0,0,0.00013,0.0015,,0.0001,0.03,0.0001,0.0076,,,,,,,,,,11,,,,0,2.00E-05,7.00E-07,,,,,,,
桃,水果,0.006,39,9.5,0,7.00E-05,0.25,1.5,4.00E-06,0.00025,0.009,0.07,8,0,0,0,0.02,0.09,0.19,0.91,0.02,1.00E-07,0,0,326,1.60E-05,2.00E-05,0,3.00E-05,0.00081,0.00015,3.00E-05,0.0066,0.00017,0.0061,1.5,1.00E-05,2.00E-05,3.00E-05,3.00E-05,6.00E-05,1.00E-05,2.00E-05,0,8.4,2.00E-05,1.00E-05,2.00E-05,0,0.00073,2.60E-06,,,,,,,
梨,水果,0.009,57,15,0,8.00E-05,0.14,3.1,7.00E-06,0.00018,0.007,0.08,12,0,0,0,0.012,0.09,0.116,0.36,0.02,1.00E-07,0.001,0,25,1.00E-06,1.00E-05,0,3.00E-05,0.00016,5.00E-05,3.00E-05,0.0043,0.0001,0.0051,6.4,0,1.00E-05,2.00E-05,2.00E-05,5.00E-05,0,1.00E-05,,9.8,1.00E-05,0,2.00E-05,0,0.00012,4.40E-06,,,,,,,
柿子,水果,0.027,127,34,0,,0.4,,,0.0025,,,34,,,,0.026,,0.31,0.8,,,0.001,0,,,,0,,,,,0.066,,,,2.00E-05,4.00E-05,6.00E-05,5.00E-05,,1.00E-05,4.00E-05,,,4.00E-05,1.00E-05,4.00E-05,,,,,,,,,,
菠萝,水果,0.013,50,13,0,0.00011,0.12,1.4,1.80E-05,0.00029,0.012,0.01,12,0,0,0,0.008,0.04,0.109,0.54,0.01,1.00E-07,0.001,0,58,3.00E-06,8.00E-05,0,3.00E-05,0.0005,0.00021,0.00011,0.048,0.00012,0.0055,2.1,1.00E-05,2.00E-05,2.00E-05,3.00E-05,0.00093,1.00E-05,2.00E-05,0,9.9,2.00E-05,1.00E-05,2.00E-05,0,2.00E-05,7.00E-07,,,,,,,
苏里南樱桃,水果,0.009,33,7.5,0,,0.4,,,0.0002,0.012,,7.5,,,,0.011,,0.103,0.8,,,0.003,0,1500,7.50E-05,3.00E-05,0,4.00E-05,0.0003,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,
芭蕉,水果,0.002,116,31,0,7.00E-05,0.18,2.3,2.60E-05,0.00058,0.032,0.02,29,0,0,0,0.028,0.03,0.465,0.79,0.07,1.40E-06,0.005,0,909,4.50E-05,5.00E-05,0,5.00E-05,0.00076,0.00023,0.00024,0.011,0.00013,0.013,,4.00E-05,2.00E-05,4.00E-05,4.00E-05,,1.00E-05,3.00E-05,,14,2.00E-05,1.00E-05,3.00E-05,0,0.00013,7.00E-07,,,,,,,
李子,水果,0.006,46,11,0,6.00E-05,0.28,1.4,5.00E-06,0.00017,0.007,0.13,10,0,0,0,0.016,0.04,0.157,0.7,0.02,0,0,0,345,1.70E-05,3.00E-05,0,3.00E-05,0.00042,0.00014,3.00E-05,0.0095,0.0001,0.0019,3.1,1.00E-05,1.00E-05,2.00E-05,2.00E-05,5.00E-05,1.00E-05,1.00E-05,0,9.9,1.00E-05,1.00E-05,2.00E-05,0,0.00026,6.40E-06,,,,,,,
石榴,水果,0.01,83,19,0,0.00016,1.2,4,3.80E-05,0.0003,0.012,0.09,15,0,0,0,0.036,0.08,0.236,1.7,0.12,5.00E-07,0.003,0,0,0,7.00E-05,0,5.00E-05,0.00029,0.00038,8.00E-05,0.01,0.00035,0.0076,,,,,,0.00012,,,,14,,,,0,0.0006,1.60E-05,,,,,,,
仙人掌果,水果,0.056,41,9.6,0,8.00E-05,0.51,3.6,6.00E-06,0.0003,0.085,0.08,6,0,0,0,0.024,0.21,0.22,0.73,0.07,6.00E-07,0.005,0,43,2.00E-06,1.00E-05,0,6.00E-05,0.00046,,6.00E-05,0.014,0.00012,,,,,,,,,,,,,,,,,,,,,,,,
梅干,水果,0.043,240,64,0,0.00028,0.38,7.1,4.00E-06,0.00093,0.041,0.05,57,0,0,0,0.069,0.06,0.732,2.2,0.09,3.00E-07,0.002,,781,3.90E-05,5.00E-05,0,0.00019,0.0019,0.00042,0.00021,0.0006,0.00044,0.01,12,3.00E-05,4.00E-05,7.00E-05,5.00E-05,0.0003,2.00E-05,5.00E-05,5.1,38,5.00E-05,3.00E-05,6.00E-05,0,0.00043,6.00E-05,,0,0,,,,
柚子,水果,0.004,38,9.6,0,5.00E-05,0.04,1,,0.00011,0.006,,8.6,,,,0.017,,0.216,0.76,,,0.001,0,8,0,3.00E-05,0,3.00E-05,0.00022,,4.00E-05,0.061,8.00E-05,,,,,,,2.00E-05,,,,,,,,,,,,,,,,,
榅桲果,水果,0.011,57,15,0,0.00013,0.1,1.9,3.00E-06,0.0007,0.008,0.04,13,0,0,0,0.017,0.05,0.197,0.4,0.01,6.00E-07,0.004,0,40,2.00E-06,2.00E-05,0,3.00E-05,0.0002,8.00E-05,4.00E-05,0.015,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,
葡萄干,水果,0.05,299,79,0,0.00032,0.46,3.7,5.00E-06,0.0019,0.032,0.05,75,0,0,0,0.101,0.04,0.749,3.1,0.06,6.00E-07,0.011,0,0,0,0.00011,0,0.00013,0.00077,0.0001,0.00017,0.0023,0.00022,0.011,30,7.00E-05,6.00E-05,0.0001,8.00E-05,0.0003,2.00E-05,7.00E-05,2.7,59,8.00E-05,5.00E-05,8.00E-05,0,0.00012,3.50E-06,,0,0,,,,
山竹,水果,0.022,82,21,0,7.00E-05,0.21,0.9,8.00E-06,0.00035,0.007,,20,,,,0.009,,0.042,0.65,,,0.011,0,3,0,1.00E-05,0,2.00E-05,0.0014,2.00E-05,2.00E-05,0.0049,8.00E-05,,,,,,,0.00034,,,,,,,,,,,,,,,,,
